% Model:              fp_sheets _with_NP_V3.mph
% Version:            COMSOL 5.3.0.316
% Date:               May 6 2021, 19:17
% Table:              dd,dm=5 HMMhf=200 Aghf=50 L=500 no NP Agfirst - Global Evaluation 8 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
300                                               26.374462682136247                                1.1089691006819298
305                                               25.382966531950608                                2.083668224890719
309.99999999999994                                23.23154711376678                                 3.4536902390856823
314.99999999999994                                21.81930963880159                                 4.924734640940233
319.99999999999994                                24.010626442142215                                6.18359661376998
325                                               29.776289212947372                                7.172770933962679
330                                               36.859161492607406                                8.00108245199931
335                                               43.53959292187961                                 8.706293234744452
340                                               49.46369775368661                                 9.185705069305932
345                                               54.939927152834755                                9.32177814233748
350                                               60.12307466435857                                 9.136515156407516
355                                               64.84606094499291                                 8.781930576727493
360                                               68.88526901002449                                 8.421604088926799
364.99999999999994                                72.12438888362969                                 8.169191462759155
369.99999999999994                                74.52818163278336                                 8.100487840488993
374.99999999999994                                76.08049922264465                                 8.275158495801731
379.99999999999994                                76.78330765159504                                 8.726223173297248
385                                               76.76882902135094                                 9.388118826034386
390                                               76.55342358765505                                 9.955404391658565
395                                               77.11408480853962                                 9.88163670711429
400                                               79.03515839934681                                 8.922843462373313
405                                               81.62924742380582                                 7.582410736848467
410                                               83.77824746719087                                 6.527566785317085
415                                               84.79642681692225                                 6.106646793139617
419.99999999999994                                84.10406588642444                                 6.556985163336932
424.99999999999994                                80.50849793909785                                 8.316903548890282
429.99999999999994                                74.30894654391133                                 10.732735764008057
434.99999999999994                                79.32733797746356                                 7.3305616648613645
439.99999999999994                                89.10938919265034                                 2.754587357590741
445                                               93.39527825001755                                 1.069809583479258
450                                               95.1972414032126                                  0.4875335566581483
455                                               96.10852350094035                                 0.2547008257754599
460                                               96.65353950593938                                 0.14807728055184477
465                                               97.02274143320068                                 0.09378784069277547
470                                               97.29576387795844                                 0.06379302346978653
474.99999999999994                                97.51032522625844                                 0.046150571814973326
480                                               97.6862480186779                                  0.03528370253019371
484.99999999999994                                97.83487094136653                                 0.028393628110989663
490                                               97.96310754967912                                 0.024000881741782013
494.99999999999994                                98.07530778986359                                 0.021305970777290732
500                                               98.17407770659507                                 0.01989844037931838
505                                               98.26043133223534                                 0.019635884240577935
509.99999999999994                                98.33314286825636                                 0.020637006992903717
515                                               98.38628144149911                                 0.02342307517024866
519.9999999999999                                 98.40077051658834                                 0.02943530562658172
525                                               98.30992253633643                                 0.0429992506444293
530                                               97.79873408402557                                 0.08167566419042806
535                                               93.84780827528883                                 0.28871340958730485
540                                               15.840039993454624                                3.0859619572928336
545                                               92.90563903064934                                 0.1405159736363452
550                                               96.64491604677113                                 0.03451330320858367
555                                               97.57427226783129                                 0.013931910440830418
560                                               97.97160525238651                                 0.007041653085869629
564.9999999999999                                 98.19186873207015                                 0.004055469649605384
570                                               98.33413611998526                                 0.0025472705679527815
574.9999999999999                                 98.43561261043988                                 0.0017034901027864148
580                                               98.51309954562278                                 0.0011952779565822845
584.9999999999999                                 98.57521466721947                                 8.715210470125733E-4
590                                               98.6268141201801                                  6.559302715155299E-4
595                                               98.67084100941057                                 5.071051461678437E-4
600                                               98.70918615273028                                 4.012501941049019E-4
605                                               98.74312400664769                                 3.2403224758797836E-4
610                                               98.77354887776255                                 2.6647370954313473E-4
615                                               98.80111024221256                                 2.2276207868493142E-4
619.9999999999999                                 98.82629398532818                                 1.8902539522570156E-4
625                                               98.849473165665                                   1.6261979330141048E-4
629.9999999999999                                 98.8709408579612                                  1.4170046653022987E-4
635                                               98.89093206601729                                 1.24955373803832E-4
639.9999999999999                                 98.90963874371629                                 1.1143560068416562E-4
645                                               98.92722035618817                                 1.0044469149238981E-4
650                                               98.94381147259145                                 9.14649482906432E-5
655                                               98.9595273468791                                  8.410746298930237E-5
660                                               98.97446810561408                                 7.807767602242638E-5
665                                               98.98872195739705                                 7.315133044335038E-5
670                                               99.00236770491725                                 6.915751635827304E-5
674.9999999999999                                 99.01547675797717                                 6.59666512975612E-5
680                                               99.02811478741839                                 6.348198394627705E-5
684.9999999999999                                 99.04034312275422                                 6.163369554546597E-5
690                                               99.05221996814436                                 6.0374994439397014E-5
694.9999999999999                                 99.06380149344393                                 5.967985982797652E-5
700                                               99.07514284456964                                 5.954225604907648E-5
704.9999999999999                                 99.08629909746342                                 5.997684001890015E-5
710                                               99.09732616515534                                 6.102137502683269E-5
715                                               99.10828163786393                                 6.27413223341078E-5
720                                               99.1192254837211                                  6.523747774841648E-5
725                                               99.13022042950432                                 6.865816347129751E-5
729.9999999999999                                 99.14133163318878                                 7.321859065468083E-5
735                                               99.15262482371377                                 7.923203911498326E-5
739.9999999999999                                 99.16416112993296                                 8.716136952333474E-5
745                                               99.1759847099134                                  9.770714974611788E-5
749.9999999999999                                 99.18809433928769                                 1.1196517787947416E-4
755                                               99.20037778905674                                 1.317236213081249E-4
759.9999999999999                                 99.21245491314669                                 1.600618270910847E-4
765                                               99.22327900414986                                 2.026610849029965E-4
770                                               99.23002868247572                                 2.709945602045166E-4
775                                               99.22460197492671                                 3.9126868334965996E-4
780                                               99.1801864308767                                  6.350213741496151E-4
784.9999999999999                                 98.98148260733265                                 0.0012617727791003437
790                                               97.78001782146224                                 0.003898005539339337
794.9999999999999                                 60.63563630160016                                 0.06372467931327541
800                                               91.74020539163952                                 0.00832611596890109
