% Model:              NW_with_NP_V5.mph
% Version:            COMSOL 5.3.0.316
% Date:               Jun 8 2021, 16:56
% Table:              noNP_R=15_a=3R_Agnwh=200_h=5 - Global Evaluation 3 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
400                                               78.58144468248118                                 0.01627541946471818
405                                               80.80566497177253                                 0.007963018532323316
410                                               81.93860230613993                                 0.002313152986709822
415                                               82.24144350563847                                 0.0011821580713324575
419.99999999999994                                82.49038437948467                                 6.561948335327394E-4
424.99999999999994                                83.26839849972545                                 3.485931890110721E-4
429.99999999999994                                84.23883617477594                                 2.065030787916252E-4
434.99999999999994                                85.28645204622086                                 1.1206408533301098E-4
439.99999999999994                                86.08641581507526                                 6.268877076610905E-5
445                                               86.73051001280872                                 3.3271536274757295E-5
450                                               87.86039357129322                                 1.4046726007865004E-5
455                                               88.77580677936452                                 5.057272343001737E-6
460                                               89.62930180510557                                 2.270454669818715E-6
465                                               90.12087418975031                                 8.052298244401374E-7
470                                               89.88718388218837                                 2.7885110864392454E-7
474.99999999999994                                88.59643239783806                                 9.949430780664829E-8
480                                               86.52611279752747                                 3.7977858597333304E-8
484.99999999999994                                84.16667485185334                                 1.638637492540442E-7
490                                               84.86697554301924                                 6.427550233134658E-6
494.99999999999994                                86.6652681031496                                  2.0019183212802455E-5
500                                               86.15657793978842                                 6.516090524391593E-5
505                                               85.12740220480411                                 6.704697538009187E-5
509.99999999999994                                80.47947287756476                                 1.7739088854254348E-4
515                                               80.05564292406243                                 2.098032934563714E-4
519.9999999999999                                 77.05808540058344                                 3.150692356073623E-4
525                                               77.38140369540723                                 4.943410409459387E-4
530                                               77.93484252502581                                 0.0020089521766927733
535                                               78.39500582336038                                 0.004913326656708991
540                                               85.02700545564508                                 0.006842674565868261
545                                               87.67116084240155                                 0.013558580861451291
550                                               88.5758559633496                                  0.029301467565109953
555                                               87.64287142135953                                 0.04080689959533493
560                                               87.89903117390688                                 0.036796588112646064
564.9999999999999                                 90.04504361538044                                 0.028771247460541285
570                                               89.09981762910658                                 0.024906336063491803
574.9999999999999                                 87.1576812792724                                  0.013069850347219372
580                                               77.62544952907236                                 0.015854298122358897
584.9999999999999                                 77.1852896261843                                  0.07966942562926198
590                                               78.72838087367504                                 0.028937943493636563
595                                               73.13024137380265                                 0.10682903185953216
600                                               67.96116212230342                                 1.0820710359119075
605                                               58.90402763596623                                 3.3772510868870045
610                                               34.58009824870947                                 9.167201935300447
615                                               26.045252505430224                                11.560111573112792
619.9999999999999                                 53.291025226379915                                9.778356709852181
625                                               67.44691455210953                                 9.61453309823393
629.9999999999999                                 70.39533531014686                                 9.746446570548962
635                                               68.48664992412638                                 10.39099342665379
639.9999999999999                                 61.70142708413627                                 10.15687906239714
645                                               52.00712887892907                                 10.2136575372011
650                                               34.30437047642313                                 10.137009575190744
655                                               44.587303770528564                                13.06881866861901
660                                               39.173843010725825                                18.78481163075098
665                                               21.455019445842                                   31.297468038501833
670                                               14.729409241823205                                24.605749215402728
674.9999999999999                                 13.749748767452989                                33.71163683565864
680                                               23.261995486955936                                44.2688439077633
684.9999999999999                                 33.21139878919264                                 39.01789817967542
690                                               40.17513363837035                                 36.83976806630235
694.9999999999999                                 44.28370947450383                                 33.52519643160695
700                                               57.386399489601615                                21.109642340947346
704.9999999999999                                 59.60160255331903                                 24.73775283238743
710                                               62.29833757859563                                 24.899077594318392
715                                               63.22089388405787                                 24.8341696288972
720                                               63.484908932694374                                24.555243744639853
725                                               63.11716667884477                                 24.963008036320048
729.9999999999999                                 63.369713332154255                                25.555671692377054
735                                               60.613701478415614                                24.74041990276916
739.9999999999999                                 56.517975510098026                                29.065302406139356
745                                               52.71042026809408                                 28.150241066419486
749.9999999999999                                 55.10192363860698                                 27.428283561169266
755                                               54.69205916541395                                 30.65635468664586
759.9999999999999                                 52.88236927415394                                 32.47206928835226
765                                               52.91997700286202                                 26.806852836609952
770                                               41.957416981434385                                37.709464137504945
775                                               39.859868250920954                                41.46241949617052
780                                               35.60194532680458                                 45.4530632883959
784.9999999999999                                 29.495376136790107                                47.00947593633818
790                                               28.136255121145904                                46.91490485239336
794.9999999999999                                 40.48090502618788                                 40.76013564047424
800                                               48.66777709568083                                 15.8429513201852
