% Model:              NW_with_NP_V4.mph
% Version:            COMSOL 5.3.0.316
% Date:               Jun 8 2021, 16:57
% Table:              AuNW_NPR=20_nwh=200_h=5_ff=30 - Global Evaluation 29 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
500                                               6.626520534295606                                 0.0842901296947509
505                                               7.0841132708545596                                0.27313831586638504
509.99999999999994                                7.588096818643836                                 0.22516510827249175
515                                               8.140609783785509                                 0.16915509112548888
519.9999999999999                                 8.732070980412399                                 0.12063531886625208
525                                               9.336481073221698                                 0.08141540980127168
530                                               9.916686109083676                                 0.05255552589639107
535                                               10.416907990010891                                0.03245728321328413
540                                               10.77223107620127                                 0.01957487585515966
545                                               10.919405134842194                                0.011533409112963239
550                                               10.80655874517974                                 0.0067822465909045185
555                                               10.409725587907642                                0.0037453190223211007
560                                               9.702353613367903                                 0.0020176956205007783
564.9999999999999                                 8.732654069387001                                 0.001292314474751844
570                                               7.550113003490827                                 7.842590037595013E-4
574.9999999999999                                 6.247143012897007                                 4.6791770116615366E-4
580                                               4.941375982946073                                 2.741036332694816E-4
584.9999999999999                                 3.7819391222126573                                1.5210647971640597E-4
590                                               2.929407823865302                                 8.556982220684469E-5
595                                               2.5387934728601373                                2.214143193632423E-5
600                                               2.7326580047984126                                1.900673156582608E-5
605                                               3.575505187370756                                 6.941122775441034E-6
610                                               5.059382708293205                                 2.6463873332268844E-6
615                                               7.110708202602013                                 1.0055954437013819E-6
619.9999999999999                                 9.617247887292981                                 3.0628533235842044E-7
625                                               12.461154359020789                                8.530629305242107E-8
629.9999999999999                                 15.541245427479167                                9.249846462235623E-9
635                                               18.776208760714027                                1.840149523564324E-9
639.9999999999999                                 22.093003923040225                                7.758509566678036E-9
645                                               25.416399398299045                                3.770845529356679E-7
650                                               28.668552881663757                                1.2002643319469706E-5
655                                               31.768742653338798                                1.6191438377035258E-4
660                                               34.63338336947274                                 9.336670364222842E-4
665                                               37.13975574324855                                 0.0036603398545084205
670                                               39.22722422996073                                 0.0072186249995058955
674.9999999999999                                 40.747647521004176                                0.025508188559091847
680                                               41.543292559579356                                0.06355539228112911
684.9999999999999                                 41.53837152378942                                 0.14272369002658966
690                                               40.8806898915075                                  0.30751244828041563
694.9999999999999                                 40.205951631574045                                0.43462034410388295
700                                               39.93654904593918                                 1.2326147186854368
704.9999999999999                                 41.19892280056113                                 1.0804149907005003
710                                               40.68622246000136                                 2.344138700921986
715                                               41.54552710703751                                 2.142256134563483
720                                               37.17654761786319                                 0.6275263532372013
725                                               28.946960181533264                                0.001580288217481096
729.9999999999999                                 19.472478959714316                                0.5443204584004849
735                                               14.265422846525444                                2.763743752471306
739.9999999999999                                 12.381147233392928                                2.7093115077654386
745                                               20.576993933568044                                6.629835644923431
749.9999999999999                                 20.1539234036799                                  2.993233239505698
755                                               40.017948364398826                                5.614624349490171
759.9999999999999                                 46.73404644097685                                 7.512382279829617
765                                               50.89258735724738                                 8.887047647494143
770                                               53.74989182289153                                 8.940962245944489
775                                               53.08423310198577                                 12.333759773147904
780                                               50.81774847644276                                 15.414298316330777
784.9999999999999                                 45.46737335219221                                 19.232677733919648
790                                               39.080917435572275                                19.767857622034562
794.9999999999999                                 4.073769877870722                                 0.06935557786809034
800                                               56.65754818119824                                 16.71214441010762
