 lambda      Rs      Ts      As      Rp      Tp      Ap
845.2624  1.7676 91.6276  6.6048  1.7676 91.6276  6.6048
844.6866  1.6500 91.7175  6.6325  1.6500 91.7175  6.6325
844.1116  1.5388 91.8014  6.6598  1.5388 91.8014  6.6598
843.5374  1.4341 91.8791  6.6868  1.4341 91.8791  6.6868
842.9640  1.3359 91.9507  6.7134  1.3359 91.9507  6.7134
842.3913  1.2443 92.0161  6.7397  1.2443 92.0161  6.7397
841.8194  1.1594 92.0751  6.7655  1.1594 92.0751  6.7655
841.2483  1.0812 92.1278  6.7910  1.0812 92.1278  6.7910
840.6780  1.0098 92.1741  6.8161  1.0098 92.1741  6.8161
840.1084  0.9454 92.2138  6.8408  0.9454 92.2138  6.8408
839.5396  0.8878 92.2471  6.8650  0.8878 92.2471  6.8650
838.9716  0.8373 92.2738  6.8889  0.8373 92.2738  6.8889
838.4043  0.7938 92.2939  6.9123  0.7938 92.2939  6.9123
837.8378  0.7573 92.3074  6.9353  0.7573 92.3074  6.9353
837.2721  0.7280 92.3142  6.9578  0.7280 92.3142  6.9578
836.7072  0.7059 92.3142  6.9799  0.7059 92.3142  6.9799
836.1430  0.6909 92.3076  7.0016  0.6909 92.3076  7.0016
835.5795  0.6831 92.2941  7.0227  0.6831 92.2941  7.0227
835.0168  0.6827 92.2739  7.0435  0.6827 92.2739  7.0435
834.4549  0.6894 92.2469  7.0637  0.6894 92.2469  7.0637
833.8937  0.7035 92.2131  7.0835  0.7035 92.2131  7.0835
833.3333  0.7248 92.1724  7.1027  0.7248 92.1724  7.1027
832.7737  0.7535 92.1250  7.1215  0.7535 92.1250  7.1215
832.2148  0.7895 92.0707  7.1398  0.7895 92.0707  7.1398
831.6566  0.8328 92.0096  7.1576  0.8328 92.0096  7.1576
831.0992  0.8834 91.9417  7.1750  0.8834 91.9417  7.1750
830.5425  0.9412 91.8670  7.1918  0.9412 91.8670  7.1918
829.9866  1.0064 91.7855  7.2081  1.0064 91.7855  7.2081
829.4314  1.0788 91.6973  7.2239  1.0788 91.6973  7.2239
828.8770  1.1585 91.6023  7.2392  1.1585 91.6023  7.2392
828.3233  1.2454 91.5006  7.2540  1.2454 91.5006  7.2540
827.7704  1.3395 91.3923  7.2682  1.3395 91.3923  7.2682
827.2181  1.4407 91.2773  7.2820  1.4407 91.2773  7.2820
826.6667  1.5490 91.1558  7.2952  1.5490 91.1558  7.2952
