 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 25.5182 70.7000  3.7818 25.5182 70.7000  3.7818
899.8549 25.2312 70.9600  3.8088 25.2312 70.9600  3.8088
899.2023 24.9428 71.2212  3.8360 24.9428 71.2212  3.8360
898.5507 24.6531 71.4836  3.8633 24.6531 71.4836  3.8633
897.9001 24.3621 71.7470  3.8909 24.3621 71.7470  3.8909
897.2504 24.0698 72.0115  3.9187 24.0698 72.0115  3.9187
896.6016 23.7763 72.2770  3.9466 23.7763 72.2770  3.9466
895.9538 23.4816 72.5436  3.9748 23.4816 72.5436  3.9748
895.3069 23.1858 72.8110  4.0031 23.1858 72.8110  4.0031
894.6609 22.8889 73.0794  4.0317 22.8889 73.0794  4.0317
894.0159 22.5909 73.3487  4.0604 22.5909 73.3487  4.0604
893.3718 22.2919 73.6188  4.0893 22.2919 73.6188  4.0893
892.7286 21.9919 73.8897  4.1184 21.9919 73.8897  4.1184
892.0863 21.6910 74.1613  4.1477 21.6910 74.1613  4.1477
891.4450 21.3892 74.4336  4.1772 21.3892 74.4336  4.1772
890.8046 21.0865 74.7066  4.2069 21.0865 74.7066  4.2069
890.1651 20.7831 74.9801  4.2367 20.7831 74.9801  4.2367
889.5265 20.4790 75.2543  4.2668 20.4790 75.2543  4.2668
888.8889 20.1741 75.5289  4.2970 20.1741 75.5289  4.2970
888.2521 19.8687 75.8040  4.3273 19.8687 75.8040  4.3273
887.6163 19.5627 76.0794  4.3579 19.5627 76.0794  4.3579
886.9814 19.2562 76.3552  4.3886 19.2562 76.3552  4.3886
886.3474 18.9492 76.6313  4.4195 18.9492 76.6313  4.4195
885.7143 18.6419 76.9076  4.4505 18.6419 76.9076  4.4505
885.0821 18.3342 77.1841  4.4817 18.3342 77.1841  4.4817
884.4508 18.0263 77.4606  4.5131 18.0263 77.4606  4.5131
883.8204 17.7181 77.7372  4.5446 17.7181 77.7372  4.5446
883.1909 17.4099 78.0138  4.5763 17.4099 78.0138  4.5763
882.5623 17.1016 78.2903  4.6081 17.1016 78.2903  4.6081
881.9346 16.7933 78.5666  4.6401 16.7933 78.5666  4.6401
881.3077 16.4851 78.8427  4.6722 16.4851 78.8427  4.6722
880.6818 16.1771 79.1185  4.7044 16.1771 79.1185  4.7044
880.0568 15.8693 79.3939  4.7367 15.8693 79.3939  4.7367
879.4326 15.5619 79.6689  4.7692 15.5619 79.6689  4.7692
878.8094 15.2548 79.9433  4.8018 15.2548 79.9433  4.8018
878.1870 14.9482 80.2172  4.8346 14.9482 80.2172  4.8346
877.5655 14.6422 80.4903  4.8674 14.6422 80.4903  4.8674
876.9448 14.3369 80.7628  4.9004 14.3369 80.7628  4.9004
876.3251 14.0323 81.0343  4.9334 14.0323 81.0343  4.9334
875.7062 13.7285 81.3050  4.9666 13.7285 81.3050  4.9666
875.0882 13.4256 81.5746  4.9998 13.4256 81.5746  4.9998
874.4711 13.1237 81.8432  5.0331 13.1237 81.8432  5.0331
873.8548 12.8229 82.1106  5.0665 12.8229 82.1106  5.0665
873.2394 12.5233 82.3767  5.1000 12.5233 82.3767  5.1000
872.6249 12.2250 82.6415  5.1335 12.2250 82.6415  5.1335
872.0113 11.9281 82.9048  5.1672 11.9281 82.9048  5.1672
871.3985 11.6326 83.1666  5.2008 11.6326 83.1666  5.2008
870.7865 11.3388 83.4267  5.2345 11.3388 83.4267  5.2345
870.1754 11.0466 83.6851  5.2683 11.0466 83.6851  5.2683
869.5652 10.7562 83.9417  5.3021 10.7562 83.9417  5.3021
868.9559 10.4677 84.1964  5.3359 10.4677 84.1964  5.3359
868.3473 10.1812 84.4491  5.3698 10.1812 84.4491  5.3698
867.7397  9.8967 84.6996  5.4036  9.8967 84.6996  5.4036
867.1329  9.6145 84.9480  5.4375  9.6145 84.9480  5.4375
866.5269  9.3346 85.1940  5.4714  9.3346 85.1940  5.4714
865.9218  9.0572 85.4376  5.5052  9.0572 85.4376  5.5052
865.3175  8.7822 85.6787  5.5391  8.7822 85.6787  5.5391
864.7141  8.5099 85.9172  5.5729  8.5099 85.9172  5.5729
864.1115  8.2404 86.1529  5.6067  8.2404 86.1529  5.6067
863.5097  7.9738 86.3859  5.6404  7.9738 86.3859  5.6404
862.9088  7.7101 86.6158  5.6741  7.7101 86.6158  5.6741
862.3088  7.4495 86.8428  5.7077  7.4495 86.8428  5.7077
861.7095  7.1921 87.0666  5.7413  7.1921 87.0666  5.7413
861.1111  6.9381 87.2871  5.7748  6.9381 87.2871  5.7748
860.5135  6.6875 87.5043  5.8082  6.6875 87.5043  5.8082
859.9168  6.4405 87.7180  5.8415  6.4405 87.7180  5.8415
859.3209  6.1971 87.9281  5.8747  6.1971 87.9281  5.8747
858.7258  5.9576 88.1346  5.9078  5.9576 88.1346  5.9078
858.1315  5.7219 88.3373  5.9408  5.7219 88.3373  5.9408
857.5380  5.4902 88.5361  5.9737  5.4902 88.5361  5.9737
856.9454  5.2627 88.7309  6.0064  5.2627 88.7309  6.0064
856.3536  5.0395 88.9216  6.0390  5.0395 88.9216  6.0390
855.7626  4.8206 89.1080  6.0714  4.8206 89.1080  6.0714
855.1724  4.6062 89.2902  6.1036  4.6062 89.2902  6.1036
854.5830  4.3964 89.4680  6.1357  4.3964 89.4680  6.1357
853.9945  4.1913 89.6412  6.1675  4.1913 89.6412  6.1675
853.4067  3.9910 89.8098  6.1992  3.9910 89.8098  6.1992
852.8198  3.7956 89.9737  6.2307  3.7956 89.9737  6.2307
852.2337  3.6053 90.1328  6.2619  3.6053 90.1328  6.2619
851.6484  3.4201 90.2869  6.2930  3.4201 90.2869  6.2930
851.0638  3.2402 90.4360  6.3238  3.2402 90.4360  6.3238
850.4801  3.0656 90.5800  6.3543  3.0656 90.5800  6.3543
849.8972  2.8966 90.7189  6.3846  2.8966 90.7189  6.3846
849.3151  2.7330 90.8524  6.4146  2.7330 90.8524  6.4146
848.7337  2.5752 90.9805  6.4444  2.5752 90.9805  6.4444
848.1532  2.4230 91.1031  6.4738  2.4230 91.1031  6.4738
847.5735  2.2768 91.2202  6.5030  2.2768 91.2202  6.5030
846.9945  2.1365 91.3316  6.5319  2.1365 91.3316  6.5319
846.4164  2.0023 91.4373  6.5604  2.0023 91.4373  6.5604
845.8390  1.8742 91.5372  6.5887  1.8742 91.5372  6.5887
845.2624  1.7523 91.6312  6.6166  1.7523 91.6312  6.6166
844.6866  1.6367 91.7192  6.6441  1.6367 91.7192  6.6441
844.1116  1.5275 91.8012  6.6713  1.5275 91.8012  6.6713
843.5374  1.4248 91.8770  6.6982  1.4248 91.8770  6.6982
842.9640  1.3286 91.9467  6.7247  1.3286 91.9467  6.7247
842.3913  1.2390 92.0102  6.7508  1.2390 92.0102  6.7508
841.8194  1.1561 92.0674  6.7765  1.1561 92.0674  6.7765
841.2483  1.0800 92.1182  6.8018  1.0800 92.1182  6.8018
840.6780  1.0107 92.1625  6.8268  1.0107 92.1625  6.8268
840.1084  0.9482 92.2005  6.8513  0.9482 92.2005  6.8513
839.5396  0.8927 92.2319  6.8754  0.8927 92.2319  6.8754
838.9716  0.8441 92.2568  6.8991  0.8441 92.2568  6.8991
838.4043  0.8026 92.2750  6.9224  0.8026 92.2750  6.9224
837.8378  0.7681 92.2867  6.9452  0.7681 92.2867  6.9452
837.2721  0.7408 92.2917  6.9676  0.7408 92.2917  6.9676
836.7072  0.7206 92.2899  6.9895  0.7206 92.2899  6.9895
836.1430  0.7075 92.2815  7.0110  0.7075 92.2815  7.0110
835.5795  0.7017 92.2663  7.0320  0.7017 92.2663  7.0320
835.0168  0.7031 92.2444  7.0525  0.7031 92.2444  7.0525
834.4549  0.7117 92.2157  7.0726  0.7117 92.2157  7.0726
833.8937  0.7277 92.1802  7.0922  0.7277 92.1802  7.0922
833.3333  0.7508 92.1379  7.1113  0.7508 92.1379  7.1113
832.7737  0.7813 92.0888  7.1299  0.7813 92.0888  7.1299
832.2148  0.8190 92.0329  7.1480  0.8190 92.0329  7.1480
831.6566  0.8641 91.9703  7.1657  0.8641 91.9703  7.1657
831.0992  0.9164 91.9008  7.1828  0.9164 91.9008  7.1828
830.5425  0.9759 91.8246  7.1994  0.9759 91.8246  7.1994
829.9866  1.0428 91.7417  7.2156  1.0428 91.7417  7.2156
829.4314  1.1168 91.6520  7.2312  1.1168 91.6520  7.2312
828.8770  1.1981 91.5556  7.2463  1.1981 91.5556  7.2463
828.3233  1.2865 91.4526  7.2609  1.2865 91.4526  7.2609
827.7704  1.3821 91.3429  7.2750  1.3821 91.3429  7.2750
827.2181  1.4848 91.2266  7.2886  1.4848 91.2266  7.2886
826.6667  1.5945 91.1038  7.3016  1.5945 91.1038  7.3016
826.1159  1.7113 90.9745  7.3142  1.7113 90.9745  7.3142
825.5659  1.8351 90.8387  7.3262  1.8351 90.8387  7.3262
