 lambda      Rs      Ts      As      Rp      Tp      Ap
845.2624  0.7092 92.3312  6.9596  0.7092 92.3312  6.9596
844.6866  0.6045 92.4067  6.9889  0.6045 92.4067  6.9889
844.1116  0.5080 92.4744  7.0176  0.5080 92.4744  7.0176
843.5374  0.4199 92.5342  7.0458  0.4199 92.5342  7.0458
842.9640  0.3404 92.5861  7.0735  0.3404 92.5861  7.0735
842.3913  0.2693 92.6300  7.1007  0.2693 92.6300  7.1007
841.8194  0.2069 92.6658  7.1273  0.2069 92.6658  7.1273
841.2483  0.1533 92.6935  7.1533  0.1533 92.6935  7.1533
840.6780  0.1084 92.7129  7.1787  0.1084 92.7129  7.1787
840.1084  0.0724 92.7242  7.2035  0.0724 92.7242  7.2035
839.5396  0.0453 92.7271  7.2277  0.0453 92.7271  7.2277
838.9716  0.0271 92.7216  7.2513  0.0271 92.7216  7.2513
838.4043  0.0180 92.7078  7.2742  0.0180 92.7078  7.2742
837.8378  0.0179 92.6855  7.2966  0.0179 92.6855  7.2966
837.2721  0.0270 92.6548  7.3182  0.0270 92.6548  7.3182
836.7072  0.0451 92.6156  7.3392  0.0451 92.6156  7.3392
836.1430  0.0724 92.5680  7.3596  0.0724 92.5680  7.3596
835.5795  0.1089 92.5118  7.3793  0.1089 92.5118  7.3793
835.0168  0.1545 92.4472  7.3983  0.1545 92.4472  7.3983
834.4549  0.2094 92.3740  7.4166  0.2094 92.3740  7.4166
833.8937  0.2734 92.2924  7.4342  0.2734 92.2924  7.4342
833.3333  0.3465 92.2023  7.4512  0.3465 92.2023  7.4512
832.7737  0.4288 92.1037  7.4674  0.4288 92.1037  7.4674
832.2148  0.5203 91.9968  7.4829  0.5203 91.9968  7.4829
831.6566  0.6208 91.8814  7.4978  0.6208 91.8814  7.4978
831.0992  0.7304 91.7577  7.5119  0.7304 91.7577  7.5119
830.5425  0.8491 91.6257  7.5253  0.8491 91.6257  7.5253
829.9866  0.9767 91.4854  7.5379  0.9767 91.4854  7.5379
829.4314  1.1132 91.3369  7.5499  1.1132 91.3369  7.5499
828.8770  1.2586 91.1803  7.5611  1.2586 91.1803  7.5611
828.3233  1.4128 91.0156  7.5716  1.4128 91.0156  7.5716
827.7704  1.5757 90.8429  7.5814  1.5757 90.8429  7.5814
827.2181  1.7473 90.6623  7.5904  1.7473 90.6623  7.5904
826.6667  1.9274 90.4738  7.5988  1.9274 90.4738  7.5988
826.1159  2.1160 90.2776  7.6064  2.1160 90.2776  7.6064
825.5659  2.3130 90.0738  7.6132  2.3130 90.0738  7.6132
825.0166  2.5182 89.8624  7.6194  2.5182 89.8624  7.6194
824.4681  2.7317 89.6435  7.6249  2.7317 89.6435  7.6249
823.9203  2.9531 89.4173  7.6296  2.9531 89.4173  7.6296
823.3732  3.1825 89.1838  7.6336  3.1825 89.1838  7.6336
822.8268  3.4198 88.9433  7.6369  3.4198 88.9433  7.6369
822.2812  3.6647 88.6957  7.6396  3.6647 88.6957  7.6396
821.7362  3.9172 88.4413  7.6415  3.9172 88.4413  7.6415
821.1921  4.1771 88.1802  7.6427  4.1771 88.1802  7.6427
820.6486  4.4443 87.9124  7.6433  4.4443 87.9124  7.6433
820.1058  4.7186 87.6382  7.6432  4.7186 87.6382  7.6432
819.5638  5.0000 87.3576  7.6424  5.0000 87.3576  7.6424
819.0225  5.2882 87.0709  7.6410  5.2882 87.0709  7.6410
818.4818  5.5831 86.7781  7.6389  5.5831 86.7781  7.6389
817.9420  5.8845 86.4794  7.6361  5.8845 86.4794  7.6361
817.4028  6.1923 86.1750  7.6327  6.1923 86.1750  7.6327
816.8643  6.5063 85.8650  7.6287  6.5063 85.8650  7.6287
816.3265  6.8264 85.5495  7.6241  6.8264 85.5495  7.6241
815.7895  7.1524 85.2288  7.6188  7.1524 85.2288  7.6188
815.2531  7.4840 84.9030  7.6130  7.4840 84.9030  7.6130
814.7175  7.8213 84.5722  7.6066  7.8213 84.5722  7.6066
814.1825  8.1639 84.2366  7.5996  8.1639 84.2366  7.5996
813.6483  8.5117 83.8963  7.5920  8.5117 83.8963  7.5920
813.1148  8.8645 83.5516  7.5839  8.8645 83.5516  7.5839
