 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 27.0623 69.1004  3.8372 27.0623 69.1004  3.8372
899.8549 26.7428 69.3893  3.8680 26.7428 69.3893  3.8680
899.2023 26.4214 69.6797  3.8989 26.4214 69.6797  3.8989
898.5507 26.0983 69.9715  3.9302 26.0983 69.9715  3.9302
897.9001 25.7735 70.2649  3.9617 25.7735 70.2649  3.9617
897.2504 25.4470 70.5596  3.9934 25.4470 70.5596  3.9934
896.6016 25.1188 70.8558  4.0254 25.1188 70.8558  4.0254
895.9538 24.7891 71.1532  4.0577 24.7891 71.1532  4.0577
895.3069 24.4578 71.4520  4.0902 24.4578 71.4520  4.0902
894.6609 24.1250 71.7520  4.1229 24.1250 71.7520  4.1229
894.0159 23.7908 72.0533  4.1560 23.7908 72.0533  4.1560
893.3718 23.4551 72.3557  4.1892 23.4551 72.3557  4.1892
892.7286 23.1181 72.6592  4.2227 23.1181 72.6592  4.2227
892.0863 22.7798 72.9637  4.2565 22.7798 72.9637  4.2565
891.4450 22.4402 73.2693  4.2905 22.4402 73.2693  4.2905
890.8046 22.0995 73.5758  4.3247 22.0995 73.5758  4.3247
890.1651 21.7576 73.8832  4.3592 21.7576 73.8832  4.3592
889.5265 21.4147 74.1914  4.3939 21.4147 74.1914  4.3939
888.8889 21.0708 74.5004  4.4288 21.0708 74.5004  4.4288
888.2521 20.7259 74.8101  4.4640 20.7259 74.8101  4.4640
887.6163 20.3802 75.1204  4.4994 20.3802 75.1204  4.4994
886.9814 20.0337 75.4313  4.5350 20.0337 75.4313  4.5350
886.3474 19.6865 75.7427  4.5708 19.6865 75.7427  4.5708
885.7143 19.3387 76.0544  4.6069 19.3387 76.0544  4.6069
885.0821 18.9903 76.3666  4.6431 18.9903 76.3666  4.6431
884.4508 18.6414 76.6790  4.6796 18.6414 76.6790  4.6796
883.8204 18.2921 76.9916  4.7163 18.2921 76.9916  4.7163
883.1909 17.9425 77.3043  4.7531 17.9425 77.3043  4.7531
882.5623 17.5927 77.6171  4.7902 17.5927 77.6171  4.7902
881.9346 17.2428 77.9298  4.8274 17.2428 77.9298  4.8274
881.3077 16.8928 78.2423  4.8649 16.8928 78.2423  4.8649
880.6818 16.5429 78.5546  4.9025 16.5429 78.5546  4.9025
880.0568 16.1932 78.8666  4.9402 16.1932 78.8666  4.9402
879.4326 15.8437 79.1781  4.9782 15.8437 79.1781  4.9782
878.8094 15.4946 79.4892  5.0163 15.4946 79.4892  5.0163
878.1870 15.1459 79.7996  5.0545 15.1459 79.7996  5.0545
877.5655 14.7978 80.1092  5.0929 14.7978 80.1092  5.0929
876.9448 14.4505 80.4181  5.1314 14.4505 80.4181  5.1314
