 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 27.1567 69.0178  3.8255 27.1567 69.0178  3.8255
899.8549 26.8376 69.3063  3.8561 26.8376 69.3063  3.8561
899.2023 26.5167 69.5964  3.8869 26.5167 69.5964  3.8869
898.5507 26.1940 69.8879  3.9180 26.1940 69.8879  3.9180
897.9001 25.8696 70.1810  3.9494 25.8696 70.1810  3.9494
897.2504 25.5436 70.4754  3.9810 25.5436 70.4754  3.9810
896.6016 25.2158 70.7713  4.0129 25.2158 70.7713  4.0129
895.9538 24.8865 71.0685  4.0450 24.8865 71.0685  4.0450
895.3069 24.5556 71.3671  4.0774 24.5556 71.3671  4.0774
894.6609 24.2231 71.6669  4.1100 24.2231 71.6669  4.1100
894.0159 23.8892 71.9679  4.1428 23.8892 71.9679  4.1428
893.3718 23.5539 72.2701  4.1760 23.5539 72.2701  4.1760
892.7286 23.2172 72.5734  4.2093 23.2172 72.5734  4.2093
892.0863 22.8792 72.8778  4.2429 22.8792 72.8778  4.2429
891.4450 22.5400 73.1832  4.2768 22.5400 73.1832  4.2768
890.8046 22.1995 73.4896  4.3109 22.1995 73.4896  4.3109
890.1651 21.8579 73.7969  4.3452 21.8579 73.7969  4.3452
889.5265 21.5152 74.1050  4.3798 21.5152 74.1050  4.3798
888.8889 21.1715 74.4139  4.4146 21.1715 74.4139  4.4146
888.2521 20.8268 74.7236  4.4496 20.8268 74.7236  4.4496
887.6163 20.4813 75.0339  4.4848 20.4813 75.0339  4.4848
886.9814 20.1350 75.3447  4.5203 20.1350 75.3447  4.5203
886.3474 19.7879 75.6561  4.5560 19.7879 75.6561  4.5560
885.7143 19.4401 75.9680  4.5919 19.4401 75.9680  4.5919
885.0821 19.0918 76.2802  4.6280 19.0918 76.2802  4.6280
884.4508 18.7430 76.5927  4.6644 18.7430 76.5927  4.6644
883.8204 18.3937 76.9054  4.7009 18.3937 76.9054  4.7009
883.1909 18.0442 77.2182  4.7376 18.0442 77.2182  4.7376
882.5623 17.6943 77.5311  4.7745 17.6943 77.5311  4.7745
881.9346 17.3444 77.8440  4.8116 17.3444 77.8440  4.8116
881.3077 16.9943 78.1568  4.8489 16.9943 78.1568  4.8489
880.6818 16.6443 78.4693  4.8864 16.6443 78.4693  4.8864
880.0568 16.2944 78.7815  4.9241 16.2944 78.7815  4.9241
879.4326 15.9448 79.0934  4.9619 15.9448 79.0934  4.9619
878.8094 15.5955 79.4047  4.9998 15.5955 79.4047  4.9998
878.1870 15.2466 79.7155  5.0380 15.2466 79.7155  5.0380
877.5655 14.8982 80.0255  5.0762 14.8982 80.0255  5.0762
