 lambda      Rs      Ts      As      Rp      Tp      Ap
845.2624  1.2057 82.1875 16.6069  1.2057 82.1875 16.6069
844.6866  0.9874 82.4608 16.5518  0.9874 82.4608 16.5518
844.1116  0.8151 82.6954 16.4896  0.8151 82.6954 16.4896
843.5374  0.6887 82.8909 16.4204  0.6887 82.8909 16.4204
842.9640  0.6084 83.0474 16.3443  0.6084 83.0474 16.3443
842.3913  0.5738 83.1647 16.2615  0.5738 83.1647 16.2615
841.8194  0.5848 83.2431 16.1721  0.5848 83.2431 16.1721
841.2483  0.6408 83.2828 16.0764  0.6408 83.2828 16.0764
840.6780  0.7415 83.2840 15.9746  0.7415 83.2840 15.9746
840.1084  0.8859 83.2473 15.8668  0.8859 83.2473 15.8668
839.5396  1.0735 83.1732 15.7533  1.0735 83.1732 15.7533
838.9716  1.3032 83.0624 15.6345  1.3032 83.0624 15.6345
838.4043  1.5740 82.9155 15.5104  1.5740 82.9155 15.5104
837.8378  1.8850 82.7336 15.3815  1.8850 82.7336 15.3815
837.2721  2.2347 82.5173 15.2479  2.2347 82.5173 15.2479
836.7072  2.6221 82.2679 15.1100  2.6221 82.2679 15.1100
836.1430  3.0458 81.9862 14.9680  3.0458 81.9862 14.9680
835.5795  3.5043 81.6734 14.8223  3.5043 81.6734 14.8223
835.0168  3.9961 81.3307 14.6731  3.9961 81.3307 14.6731
834.4549  4.5199 80.9593 14.5208  4.5199 80.9593 14.5208
833.8937  5.0740 80.5604 14.3655  5.0740 80.5604 14.3655
833.3333  5.6569 80.1354 14.2077  5.6569 80.1354 14.2077
832.7737  6.2670 79.6855 14.0476  6.2670 79.6855 14.0476
832.2148  6.9026 79.2120 13.8854  6.9026 79.2120 13.8854
831.6566  7.5623 78.7163 13.7215  7.5623 78.7163 13.7215
831.0992  8.2442 78.1997 13.5561  8.2442 78.1997 13.5561
830.5425  8.9470 77.6635 13.3895  8.9470 77.6635 13.3895
829.9866  9.6690 77.1091 13.2219  9.6690 77.1091 13.2219
829.4314 10.4085 76.5378 13.0537 10.4085 76.5378 13.0537
828.8770 11.1642 75.9508 12.8849 11.1642 75.9508 12.8849
828.3233 11.9345 75.3496 12.7160 11.9345 75.3496 12.7160
827.7704 12.7179 74.7352 12.5469 12.7179 74.7352 12.5469
827.2181 13.5130 74.1089 12.3781 13.5130 74.1089 12.3781
826.6667 14.3183 73.4720 12.2096 14.3183 73.4720 12.2096
826.1159 15.1327 72.8256 12.0417 15.1327 72.8256 12.0417
825.5659 15.9547 72.1708 11.8746 15.9547 72.1708 11.8746
825.0166 16.7831 71.5086 11.7083 16.7831 71.5086 11.7083
824.4681 17.6167 70.8402 11.5431 17.6167 70.8402 11.5431
823.9203 18.4544 70.1665 11.3791 18.4544 70.1665 11.3791
823.3732 19.2951 69.4885 11.2164 19.2951 69.4885 11.2164
822.8268 20.1377 68.8071 11.0552 20.1377 68.8071 11.0552
822.2812 20.9813 68.1232 10.8956 20.9813 68.1232 10.8956
821.7362 21.8248 67.4376 10.7376 21.8248 67.4376 10.7376
821.1921 22.6675 66.7511 10.5814 22.6675 66.7511 10.5814
820.6486 23.5085 66.0644 10.4271 23.5085 66.0644 10.4271
820.1058 24.3470 65.3783 10.2747 24.3470 65.3783 10.2747
819.5638 25.1823 64.6934 10.1243 25.1823 64.6934 10.1243
819.0225 26.0136 64.0103  9.9760 26.0136 64.0103  9.9760
818.4818 26.8404 63.3297  9.8299 26.8404 63.3297  9.8299
817.9420 27.6621 62.6520  9.6859 27.6621 62.6520  9.6859
817.4028 28.4781 61.9778  9.5441 28.4781 61.9778  9.5441
816.8643 29.2879 61.3075  9.4046 29.2879 61.3075  9.4046
816.3265 30.0910 60.6417  9.2673 30.0910 60.6417  9.2673
815.7895 30.8870 59.9806  9.1324 30.8870 59.9806  9.1324
815.2531 31.6756 59.3246  8.9998 31.6756 59.3246  8.9998
814.7175 32.4563 58.6742  8.8695 32.4563 58.6742  8.8695
814.1825 33.2289 58.0296  8.7415 33.2289 58.0296  8.7415
813.6483 33.9930 57.3910  8.6159 33.9930 57.3910  8.6159
813.1148 34.7485 56.7588  8.4927 34.7485 56.7588  8.4927
812.5819 35.4950 56.1332  8.3718 35.4950 56.1332  8.3718
812.0498 36.2324 55.5144  8.2532 36.2324 55.5144  8.2532
